Código,Nombre,1: GASTOS DE PERSONAL,2: GASTOS CORRIENTES EN BIENES Y SERVICIOS,3: GASTOS FINANCIEROS,4: TRANSFERENCIAS CORRIENTES,5: FONDO DE CONTINGENCIA Y OTROS IMPREVISTOS,6: INVERSIONES REALES,7: TRANSFERENCIAS DE CAPITAL,8: ACTIVOS FINANCIEROS,9: PASIVOS FINANCIEROS
,"Clasificación por programas",77198659.02,73573032.97,613271.26,6294124.25,528.74,33174136.93,80000.00,195100.00,0
0,"DEUDA PÚBLICA",0,0,15000.00,0,0,0,0,0,0
01,"Deuda Pública",0,0,15000.00,0,0,0,0,0,0
011,"Deuda Pública",0,0,15000.00,0,0,0,0,0,0
1,"SERVICIOS PÚBLICOS BÁSICOS",19082029.47,30794122.81,0,128000.00,0,18514157.84,0,0,0
13,"Seguridad y movilidad ciudadana",15170530.93,6047800.03,0,3000.00,0,2698479.21,0,0,0
130,"Administración general de la seguridad y protección civil",795849.99,390697.65,0,0,0,50000.00,0,0,0
132,"Seguridad y Orden Público",14323046.44,395313.21,0,0,0,498000.00,0,0,0
133,"Ordenación del tráfico y del estacionamiento",0,2010520.48,0,0,0,2006479.21,0,0,0
134,"Movilidad urbana",0,6800.00,0,0,0,0,0,0,0
135,"Protección civil",51634.50,135082.69,0,3000.00,0,144000.00,0,0,0
136,"Servicio de prevención y extinción de incendios",0,3109386.00,0,0,0,0,0,0,0
15,"Vivienda y urbanismo",3319633.24,3020067.77,0,125000.00,0,12994632.79,0,0,0
150,"Administración General de Vivienda y urbanismo",0,0,0,0,0,0,0,0,0
151,"Urbanismo: planeamiento, gestión, ejecución y disciplina urbanística",2697007.17,275279.30,0,0,0,4811261.33,0,0,0
152,"Vivienda",0,0,0,125000.00,0,0,0,0,0
1521,"Promoción y gestión de vivienda de protección pública",0,0,0,125000.00,0,0,0,0,0
1522,"Conservación y rehabilitación de la edificación",0,0,0,0,0,0,0,0,0
153,"Vías públicas",622626.07,2744788.47,0,0,0,8183371.46,0,0,0
1531,"Acceso a los núcleos de población",0,0,0,0,0,0,0,0,0
1532,"Pavimentación de vías públicas",622626.07,2744788.47,0,0,0,8183371.46,0,0,0
16,"Bienestar comunitario",0,14343634.67,0,0,0,2171045.84,0,0,0
160,"Alcantarillado",0,0,0,0,0,0,0,0,0
161,"Abastecimiento domiciliario de agua potable",0,0,0,0,0,0,0,0,0
162,"Recogida, gestión y tratamiento de residuos",0,7252499.96,0,0,0,30000.00,0,0,0
1621,"Recogida de residuos",0,5952499.96,0,0,0,30000.00,0,0,0
1622,"Gestión de residuos sólidos urbanos",0,1300000.00,0,0,0,0,0,0,0
1623,"Tratamiento de residuos",0,0,0,0,0,0,0,0,0
163,"Limpieza viaria",0,5139626.73,0,0,0,0,0,0,0
164,"Cementerio y servicios funerarios",0,47000.00,0,0,0,0,0,0,0
165,"Alumbrado público",0,1904507.98,0,0,0,2141045.84,0,0,0
17,"Medio ambiente",591865.30,7382620.34,0,0,0,650000.00,0,0,0
